SMILES,CID,descriptors,datasets
C(=CC(=O)O)C(=O)O,723,['odorless'],"[""goodscents""]"
C(=C\C(=O)O)\C(=O)O,444266,"['caramelic', 'weak odor with acidic-sour taste', 'somewhat winey on dilution', 'winey']","[""arctander_1960"", ""leffingwell""]"
C(=O)(C(=O)O)O,971,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)(C(=O)[O-])[O-].[Fe+2],10589,['odorless'],"[""sharma_2021b""]"
C(=O)(N)/N=N/C(=O)N,5462814,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(=O)(N)N,1176,['odorless'],"[""sharma_2021b""]"
C(=O)(N)N.[N+](=O)(O)[O-],31295,['odorless'],"[""sharma_2021b""]"
C(=O)(N)NC(=O)N,7913,['odorless'],"[""sharma_2021b""]"
C(=O)(O)O,767,['odorless'],"[""sharma_2021b""]"
C(=O)(O)O.[Mg+2],21917310,['odorless'],"[""sharma_2021b""]"
C(=O)(O)[O-],769,['odorless'],"[""sharma_2021b""]"
C(=O)(O)[O-].[K+],516893,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(=O)(O)[O-].[NH4+],14013,"['ammonia', 'ammoniacal', 'mild']","[""flavordb"", ""goodscents""]"
C(=O)(O)[O-].[Na+],516892,['odorless'],"[""sharma_2021b""]"
C(=O)([O-])[O-].[Ba+2],10563,['odorless'],"[""sharma_2021b""]"
C(=O)([O-])[O-].[Ca+2],10112,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)([O-])[O-].[K+].[K+],11430,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)([O-])[O-].[Mg+2],11029,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)([O-])[O-].[Na+].[Na+],10340,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)([O-])[O-].[OH-].[Mg+2],3014667,['odorless'],"[""goodscents""]"
C(=O)([O-])[O-].[Sr+2],15407,['odorless'],"[""sharma_2021b""]"
C(=O)([O-])[O-].[Zn+2],19005,['odorless'],"[""sharma_2021b""]"
C(=O)=O,280,"['odorless', 'pungent']","[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(=O)C=O,7860,"['mild', 'sour', 'burnt caramel notes', 'burnt', 'caramellic']","[""goodscents"", ""leffingwell""]"
C(=O)N,713,['odorless'],"[""sharma_2021b""]"
C(=O)O,284,"['pungent', 'fermented', 'acetic', 'fruity', 'vinegar', 'sharp', 'penetrating odor', 'sour fruity taste', 'chemical', 'hydrocarbon', 'foul', 'fragrant', 'lemon', 'nature', 'nosefeel', 'rancid', 'sickening', 'sweet']","[""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(=O)O.C(=O)O.[Ni],73557423,['odorless'],"[""sharma_2021b""]"
C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O,92283,"['mentholic', 'minty', 'menthol']","[""goodscents"", ""sharma_2021b""]"
C(=O)[O-].C(=O)[O-].[Ni+2],27506,['odorless'],"[""sharma_2021b""]"
C(=S)(N)N,2723790,['odorless'],"[""sharma_2021b""]"
C(=S)(N)NN,2723789,['odorless'],"[""sharma_2021b""]"
C(=S)(N)S.N,3032322,['odorless'],"[""sharma_2021b""]"
C(=S)(N)[S-].[NH4+],11083854,['odorless'],"[""sharma_2021b""]"
C(=S)=S,6348,"['herbal', 'green', 'ethereal', 'sulfuraceous']","[""arctander_1960""]"
C(C#N)O,7857,['odorless'],"[""sharma_2021b""]"
C(C(=CC(=O)O)C(=O)O)C(=O)O,309,"['dry', 'musty', 'vegetable', 'nutty', 'toasted']","[""goodscents""]"
C(C(=O)C(=O)O)O,964,"['cabbage', 'radish', 'sour', 'enhances butter & cream', 'buttery and burnt notes', 'creamy', 'burnt', 'buttery', 'lemon', 'sharp', 'pungent', 'sulphur', 'garlic', 'vegetables']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(C(=O)C(=O)O)S,98,"['sulfurous', 'cheesy', 'meaty on dilution', 'meaty']","[""leffingwell""]"
C(C(=O)C(=O)[O-])S.[Na+],23673663,"['chemical', 'hydrocarbon', 'sulphurous', 'dairy', 'cheese', 'food', 'meaty', 'marshy', 'septic', 'nature', 'non-vegetarian', 'sickening', 'sulphur', 'cabbage', 'garlic']","[""sharma_2021b""]"
C(C(=O)CO)O,670,"['characteristic', 'minty', 'mild', 'sweet', 'somewhat fruity odor', 'sweet & cool in taste?', 'fruity', 'terpenes', 'pine', 'lemon']","[""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311,"['odorless', 'odorless with a clean', 'acid', 'tart taste']","[""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(C(=O)O)C(CC(=O)O)(C(=O)O)O.N,6435836,"['slight', 'ammoniacal']","[""goodscents""]"
C(C(=O)O)C(CC(=O)O)(C(=O)[O-])O.[Na+],23662352,['odorless'],"[""goodscents""]"
C(C(=O)O)N,750,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(C(=O)O)NCP(=O)(O)O,3496,['odorless'],"[""sharma_2021b""]"
C(C(=O)O)O,757,"['odorless', 'nearly odorless', 'acidic tart taste (see comments)']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(C(=O)O)S,1133,"['sour', 'strong', 'sulfurous', 'mercaptan odor (unless highly purified)']","[""arctander_1960"", ""leffingwell""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ca+2].[Ca+2].[Ca+2],13136,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Co+2].[Co+2].[Co+2],13343,['odorless'],"[""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.N.[Fe+3],14457,['odorless'],"[""goodscents""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.[Na+].[Na+].[Na+],71474,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.[K+].[K+].[K+],2735208,['odorless'],"[""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Co+3],10131133,['odorless'],"[""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[K+].[K+].[K+],13344,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+],6224,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(=O)[O-])F,5236,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)O)N)C(=O)O,424,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(C(=O)O)N)S,594,"['odorless', 'sour taste', 'used in reaction flavors for meat']","[""leffingwell""]"
C(C(C(=O)O)O)(C(=O)O)O,875,"['caramellic', 'mild', 'odorless', 'odorless with a strong tart acid taste', 'caramel', 'other', 'sweet']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(C(C(=O)O)O)C(=O)O,525,"['caramelic', 'odorless', 'gourmand', 'caramel', 'acidic', 'almost odorless with a sharp tart acidic taste']","[""arctander_1960"", ""goodscents"", ""ifra_2019"", ""leffingwell"", ""sharma_2021b""]"
C(C(C(=O)O)O)C(=O)[O-].[Na+],23678821,['odorless'],"[""goodscents""]"
C(C(C(=O)O)S)C(=O)O,6268,"['sulfuraceos odor', 'sulfurous']","[""leffingwell""]"
C(C(C(=O)O)[S-])C(=O)O.[Au+],422786,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])O)(C(=O)O)O.[NH4+],6432315,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])O)(C(=O)[O-])O.C(C(C(=O)[O-])O)(C(=O)[O-])O.[K+].[Sb+3],56846568,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])O)(C(=O)[O-])O.[NH4+].[NH4+],2724224,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+],13355,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(C(=O)[O-])O)C(=O)[O-].[Na+].[Na+],8736,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(C(C(=O)[O-])[O-])(C(=O)[O-])[O-].C(C(C(=O)[O-])[O-])(C(=O)[O-])[O-].[K+].[K+].[Sb+3].[Sb+3],3048869,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])[S-])C(=O)O.[Na+].[Au+],16760302,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])[S-])C(=O)[O-].O.[Na+].[Na+].[Au+],71443,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])[S-])C(=O)[O-].[Au+],4479093,['odorless'],"[""sharma_2021b""]"
C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Na+].[Au+],22318,['odorless'],"[""sharma_2021b""]"
C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Cu+2],93070,['odorless'],"[""sharma_2021b""]"
C(C(C(C(C(C=O)O)O)O)O)O,24749,['odorless'],"[""flavordb"", ""sharma_2021b""]"
C(C(C(C(C(CO)O)O)O)O)O,453,"['odorless', 'odorless with a pleasant', 'sweet taste']","[""flavordb"", ""leffingwell"", ""sharma_2021b""]"
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,9639,['odorless'],"[""sharma_2021b""]"
C(C(C1C(=C(C(=O)O1)O)O)O)O,54676860,"['odorless with a sharp', 'pleasant acid taste', 'odorless']","[""leffingwell""]"
C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],23424000,['odorless'],"[""flavordb"", ""sharma_2021b""]"
C(C(CO)(CO)CO)O,8285,['odorless'],"[""sharma_2021b""]"
C(C(CO)(CO)[N+](=O)[O-])O,31337,['odorless'],"[""sharma_2021b""]"
C(C(CO)([N+](=O)[O-])Br)O,2450,['odorless'],"[""sharma_2021b""]"
C(C(CO)O)O,753,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.[Fe+3].[Fe+3],14208876,['odorless'],"[""sharma_2021b""]"
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],4510,['odorless'],"[""sharma_2021b""]"
C(C(CS)S)O,3080,"['sulfurous', 'mecaptan-hydrogen sulfide odor']","[""leffingwell""]"
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,6214,"['camphoraceous', 'medicinal']","[""arctander_1960""]"
C(C(Cl)(Cl)Cl)(F)(F)F,9635,['odorless'],"[""sharma_2021b""]"
C(C(Cl)(Cl)Cl)(O)O,2707,"['characteristic', 'acrid', 'aromatic', 'sweet']","[""flavordb""]"
C(C(F)(Cl)Cl)(F)(F)F,9775,['odorless'],"[""sharma_2021b""]"
C(C(F)(F)Cl)(F)(F)Cl,6429,['odorless'],"[""sharma_2021b""]"
C(C(F)(F)Cl)(F)(F)F,6430,['odorless'],"[""sharma_2021b""]"
C(C(F)(F)Cl)(F)F,9632,['odorless'],"[""sharma_2021b""]"
C(C(F)(F)Cl)Cl,15442,['odorless'],"[""sharma_2021b""]"
C(C(F)(F)F)C(F)(F)F,12722,['odorless'],"[""sharma_2021b""]"
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,1115,"['characteristic', 'caramel', 'heated', 'odorless']","[""flavordb""]"
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,294,['odorless'],"[""flavordb"", ""sharma_2021b""]"
C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,86575,['odorless'],"[""goodscents""]"
C(C1[C@@H]2C(C([C@H](O1)O[C@@H]3C(O[C@@H](C(C3O)O)O[C@@H]4C(O[C@@H](C(C4O)O)O[C@@H]5C(O[C@@H](C(C5O)O)O[C@@H]6C(O[C@@H](C(C6O)O)O[C@@H]7C(O[C@H](O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O,24796,['odorless'],"[""goodscents""]"
C(C1[C@H](C(C(C(O1)O)O)O)O[C@H]2C(C(C(C(O2)CO)O)O)O)O,16211032,['odorless'],"[""sharma_2021b""]"
C(C=CCO)O,8065,['odorless'],"[""sharma_2021b""]"
C(C=O)S,77775,"['cabbage', 'sulfurous', 'grilled meat', 'brothy', 'eggy', 'toasted bread', 'tomato', 'meaty', 'bread', 'sulphur', 'garlic', 'vegetables']","[""flavornet"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CC#N)C#N,8062,['odorless'],"[""sharma_2021b""]"
C(CC(=O)N)[C@@H](C(=O)O)N,5961,"['cocoa', 'milky', 'custard', 'oily', 'odorless', 'mildly sweet', 'used in reaction flavors & salt replacers', 'chocolate', 'dairy', 'food', 'non-fooditems', 'popcorn']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CC(=O)O)C(=O)C(=O)O,51,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CC(=O)O)C(=O)O,1110,"['odorless', 'sour acid taste', 'flavor', 'umami & saltiness enhancer']","[""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CC(=O)O)C(C(=O)O)N,611,"['odorless', 'flavor enhancer', 'umami character']","[""leffingwell"", ""sharma_2021b""]"
C(CC(=O)O)C(C(=O)[O-])N.[Na+],23677676,['odorless'],"[""goodscents""]"
C(CC(=O)O)CC(=O)O,743,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CC(=O)O)CN,119,"['savory', 'meaty', 'food', 'non-vegetarian', 'salty']","[""goodscents"", ""sharma_2021b""]"
C(CC(=O)O)[C@@H](C(=O)O)N,33032,"['bread-like aroma??', 'bread', 'odorless', 'yeasty', 'bread baked', 'faint', 'meat-like odor', 'sweet-salty umami ""meaty"" taste', 'meaty', 'baked', 'microbiological', 'rancid', 'putrid']","[""aromadb"", ""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CC(=O)O)[C@@H](C(=O)O)N.Cl,2723891,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CC(=O)O)[C@@H](C(=O)O)N.N,24802175,['odorless'],"[""sharma_2021b""]"
C(CC(=O)O)[C@@H](C(=O)[O-])N.C(CC(=O)O)[C@@H](C(=O)[O-])N.[Ca+2],56841881,['odorless'],"[""sharma_2021b""]"
C(CC(=O)O)[C@@H](C(=O)[O-])N.[Na+],23672308,['odorless'],"[""flavordb"", ""sharma_2021b""]"
C(CC(=O)O)[C@H](C(=O)O)N,23327,['odorless'],"[""sharma_2021b""]"
C(CC(=O)OCBr)C(=O)OCBr,140402473,['ethereal'],"[""arctander_1960""]"
C(CC(=O)OOC(=O)CCC(=O)O)C(=O)O,31248,['odorless'],"[""sharma_2021b""]"
C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+],9020,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CC(=O)[O-])C(C(=O)O)N.[NH4+],24200,['odorless'],"[""goodscents""]"
C(CC(=O)[O-])[C@@H](C(=O)O)N.O.[Na+],23689119,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CC(=O)[O-])[C@@H](C(=O)[O-])N.O.[Na+].[Na+],18601051,['odorless'],"[""sharma_2021b""]"
C(CC(=O)[O-])[C@@H](C(=O)[O-])N.[Ca+2],87975,['odorless'],"[""goodscents""]"
C(CC(=O)[O-])[C@@H](C(=O)[O-])N.[Mg+2],198473,['odorless'],"[""goodscents""]"
C(CC=O)CC=O,3485,"['sweet', 'pungent', 'fruity', 'medicinal', 'green apple odor', 'see comments', 'green', 'apple', 'chemical', 'hydrocarbon', 'foul', 'alcohol', 'phenolic', 'minty', 'nosefeel', 'sharp', 'sickening', 'woody']","[""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CCC#N)CC#N,8128,['odorless'],"[""sharma_2021b""]"
C(CCC(=O)O)CC(=O)O,196,"['minty??????', 'mint', 'odorless', 'pleasant sour taste']","[""aromadb"", ""flavordb"", ""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CCC(=O)O)CCC(=O)O,385,['odorless'],"[""sharma_2021b""]"
C(CCC(=O)O)CCN,564,['odorless'],"[""sharma_2021b""]"
C(CCC(=O)[O-])CC(=O)[O-],200164,['odorless'],"[""sharma_2021b""]"
C(CCCC#N)CCC#N,12385,"['sweet', 'mandarin', 'floral', 'fresh', 'citrus', 'waxy', 'fragrant', 'fruity', 'lemon', 'minty', 'nature', 'non-citrusfruity', 'terpenes', 'pine']","[""goodscents"", ""sharma_2021b""]"
C(CCCC(=O)O)CCCC(=O)O,2266,"['virtually odorless with a mild sour acid taste', 'odorless']","[""leffingwell""]"
C(CCCCC(=O)O)CCCC(=O)O,5192,"['fatty', 'characteristic']","[""arctander_1960"", ""sharma_2021b""]"
C(CCCCO)CCC/C=C/CCCCCC(=O)O,5282940,['amber'],"[""goodscents""]"
C(CCCCS)CCCCS,248488,"['meaty', 'sulfurous', 'fatty', 'savory', 'lamb', 'sulfuraceous', 'fatty-waxy', 'mushroom', 'vegetative', 'mutton', 'meaty notes', 'vegetable', 'waxy', 'chemical', 'hydrocarbon', 'sulphurous', 'food', 'marshy', 'septic', 'nature', 'non-vegetarian', 'popcorn', 'salty', 'sickening', 'sulphur', 'cabbage', 'garlic']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CCCCS)CCCS,14493,"['earthy', 'meaty', 'sulfurous', 'mushroom', 'sulfuraceous', 'meaty-earthy-mushroom odor', 'fatty-meaty flavor in dilution', 'chemical', 'hydrocarbon', 'sulphurous', 'musty', 'moldy', 'food', 'marshy', 'septic', 'nature', 'non-vegetarian', 'popcorn', 'sharp', 'pungent', 'sickening', 'sulphur', 'cabbage', 'garlic', 'woody', 'resinous']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CCCS)CCS,14491,"['meaty', 'sulfurous', 'fatty', 'burnt', 'fungal', 'fatty-meaty', 'savory', 'mushroom odor', 'flavor in dilution', 'mushroom', 'chemical', 'hydrocarbon', 'sulphurous', 'food', 'marshy', 'septic', 'microbial', 'nature', 'non-vegetarian', 'popcorn', 'sickening', 'sulphur', 'cabbage', 'garlic']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CCN)CC(C(=O)O)N,866,['odorless'],"[""goodscents""]"
C(CCN)CCN,273,"['people&animals', 'animal']","[""sharma_2021b""]"
C(CCN)CN,1045,"['fish', 'animal', 'rotting', 'fishy', 'rancid', 'rotten fish', 'people&animals', 'rotten', 'sulphur', 'cabbage', 'garlic']","[""goodscents"", ""sharma_2021b""]"
C(CCN)C[C@@H](C(=O)O)N,5962,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(CCN)C[C@@H](C(=O)O)N.Cl,69568,['odorless'],"[""sharma_2021b""]"
C(CCNCCCN)CNCCCN,1103,"['citrus', 'lime', 'lavender']","[""ifra_2019""]"
C(CCO)CO,8064,['odorless'],"[""sharma_2021b""]"
C(CCS)CS,79148,"['meaty', 'sulfurous', 'burnt', 'meaty in dilution', 'chemical', 'hydrocarbon', 'sulphurous', 'food', 'marshy', 'septic', 'nature', 'non-vegetarian', 'sickening', 'sulphur', 'cabbage', 'garlic']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].O.O.[Na+].[Na+],636371,['odorless'],"[""sharma_2021b""]"
C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Ca+2],25544,['odorless'],"[""sharma_2021b""]"
C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],8759,['odorless'],"[""goodscents""]"
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].O.O.[Na+].[Na+].[Ca+2],46245300,['odorless'],"[""sharma_2021b""]"
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].O.[Na+].[Na+].[Ca+2],6096880,['odorless'],"[""sharma_2021b""]"
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Ca+2].[Ca+2],88207,['odorless'],"[""sharma_2021b""]"
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],6093170,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Mg+2],161064,['odorless'],"[""sharma_2021b""]"
C(CN)C(=O)O,239,"['no aroma', 'odorless']","[""aromadb"", ""goodscents"", ""sharma_2021b""]"
C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],5075889,['odorless'],"[""sharma_2021b""]"
C(CNC(=S)[S-])NC(=S)[S-].[Zn+2],5284484,['odorless'],"[""sharma_2021b""]"
C(CNCCO)N,8112,"['ammonia', 'mild']","[""goodscents""]"
C(CO)C(CCO)OP(=O)([O-])[O-].C(C(COP(=O)([O-])[O-])O)O.[Fe+2].[Fe+2],14765,['odorless'],"[""goodscents""]"
C(CO)COCCCO,32857,"['alcoholic', 'slight']","[""goodscents""]"
C(CO)N(CCO)N=O,14223,['odorless'],"[""sharma_2021b""]"
C(CO)NCCO,8113,"['fish', 'rotten', 'mild', 'ammonia']","[""goodscents""]"
C(CO)O,174,"['musty', 'odorless']","[""arctander_1960"", ""sharma_2021b""]"
C(COCCO)O,8117,['odorless'],"[""goodscents"", ""sharma_2021b""]"
C(COCCOCCO)O,8172,"['musty', 'odorless']","[""arctander_1960"", ""sharma_2021b""]"
C(CO[N+](=O)[O-])O[N+](=O)[O-],40818,['odorless'],"[""sharma_2021b""]"
C(CP(CCC(=O)O)CCC(=O)O)C(=O)O.Cl,2734570,['odorless'],"[""sharma_2021b""]"
C(CS(=O)(=O)O)N,1123,['odorless'],"[""flavordb"", ""goodscents"", ""sharma_2021b""]"
C(CS)C(=O)O,6514,"['acrid', 'sulfide', 'sulfurous', 'roasted', 'meaty on dilution', 'meaty', 'bakery', 'chemical', 'hydrocarbon', 'sulphurous', 'marshy', 'septic', 'nature', 'sickening', 'sulphur', 'cabbage', 'garlic']","[""flavordb"", ""leffingwell"", ""sharma_2021b""]"
C(CS)CS,8013,"['meaty', 'sulfurous', 'onion', 'garlic', 'contributes to meat aroma in dilution', 'chemical', 'hydrocarbon', 'sulphurous', 'food', 'foul', 'disagreeable', 'marshy', 'septic', 'nature', 'non-vegetarian', 'sickening', 'sulphur', 'cabbage']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CS)O,1567,"['burnt-rubber', 'meaty', 'poultry-like in dilution', 'modifier for fruit flavors', 'chicken', 'burnt']","[""leffingwell""]"
C(CS)S,10902,"['meaty', 'sulfurous', 'powerful sulfurous', 'oinion-garlic like odor', 'contributes to meat flavor', 'onion', 'garlic', 'alliaceous', 'chemical', 'hydrocarbon', 'sulphurous', 'food', 'marshy', 'septic', 'nature', 'non-vegetarian', 'sickening', 'sulphur', 'cabbage', 'vegetables']","[""goodscents"", ""leffingwell"", ""sharma_2021b""]"
C(CSCCC(S)S)C(S)S,162353069,"['green fruity', 'allium (onion', 'garlic)', 'see comments on composition', 'green', 'fruity', 'alliaceous', 'garlic', 'onion']","[""leffingwell""]"
C(C[13CH2]N)CC(C(=O)O)N.Cl.Cl,71309234,['odorless'],"[""sharma_2021b""]"
C(C[C@@H](C(=O)O)N)CN.Cl,76654,"['cortex', 'green', 'fragrant', 'sweet', 'fruity', 'lemon', 'minty', 'non-citrusfruity', 'terpenes', 'pine', 'vegetation']","[""goodscents"", ""sharma_2021b""]"
